caminho,tipo,natureza,finalidade,uso,bytes,sha256,dependencias,saidas,usado_por
.claude/settings.json,json,configuração de agentes,Configuração local de assistência e concisão por agente,Aplicar somente no cliente compatível e sem presumir economia medida,202,9a58fb997042b659db37ba99fabfc62675bdd26f2c3af940f646419e5cfb133e,,,
.cursor/rules/chisle.mdc,mdc,configuração de agentes,Configuração local de assistência e concisão por agente,Aplicar somente no cliente compatível e sem presumir economia medida,2362,2eb6feca565aafeec2b2b95e624bb43a5f49d7a8c088c8c797f23cc34a41918d,,,
.gitattributes,sem extensão,configuração editável,"Política de texto/LF, binários e supressão de diff do HTML empacotado",Git,274,456448ee1e7ca288cf22b190f42107ce644d15cb2e39783982be2ec94e45faf4,,,
.github/copilot-instructions.md,md,configuração de agentes,Configuração local de assistência e concisão por agente,Aplicar somente no cliente compatível e sem presumir economia medida,2278,32d38e5186c29bc16752b24dda06e478f7bd82306a1b1abf4a53734cd02e58aa,,,
.gitignore,sem extensão,configuração editável,"Exclusões de dependências, caches, backups Blender e dados de ambiente",Git; pode receber mudanças da conversa paralela,551,ca953604966f1aa390bd349405aaac380d520bc06749f3ac0e24a76aff8bf90d,,,
.graphifyignore,sem extensão,mapa estrutural gerado,Configuração ou saída navegável do mapa Graphify,Atualizar com Graphify após mudanças estruturais,449,209b7dfc5538d7400c0dfde3647d2511c1c47563b384e323b50daeb1fce12d85,,,
.planning/ai/project-index.json,json,configuração de agentes,Índice e instruções locais para navegação econômica por agentes,Usar para localizar a fonte mínima; não substitui o código,2997,49d250b3ce41972890ccc1d46dcdefa579b2ed130968e7285b3463cfb7472168,,,
.planning/architecture/system-architecture.html,html,mapa arquitetural gerado,Diagrama arquitetural Archify e sua especificação validada,Regenerar com Archify quando a topologia mudar,623463,9877b111ebf7334aef7b68cd329c4b3e6fc6da0041e4bb3087b72813ec2cc037,,,docs/README.md
.planning/architecture/system.architecture.json,json,mapa arquitetural gerado,Diagrama arquitetural Archify e sua especificação validada,Regenerar com Archify quando a topologia mudar,8454,b77c87a32f4a15d884026c85a01a71bc73e9d1d58076e75edefcf5dcdc1727f7,,,
00_INDICE_IA.md,md,configuração de agentes,Índice e instruções locais para navegação econômica por agentes,Usar para localizar a fonte mínima; não substitui o código,1794,65b6a7b677f6565592fd49141b2d47b8bdca586c2d4035b7ffb4ab1b67922425,,,
AGENTS.md,md,configuração de agentes,Índice e instruções locais para navegação econômica por agentes,Usar para localizar a fonte mínima; não substitui o código,2039,7ca04a43b6886cb9122cec9f4b51b7fc9621d92db1fca7be7086340da7197595,,,
CHANGELOG.md,md,documento editável,Histórico editorial das mudanças e entregas,Rastrear decisões e versões,2047,58a0128b5c14f1f76f1a519480f66a4ab2068489ac8ec95088ac8f57cbf584b0,,,
CONTRIBUTING.md,md,documento editável,Orientações para contribuir e verificar alterações,Desenvolvimento,1031,5d31d8054a3739495a713e977606f247903c224d588c8a0fdd81b652fa5fab72,,,
INTEIA_F1_Master.blend,blend,derivado editável,"Projeto Blender entregue: carro, coleções, materiais, demonstração e estúdio",Blender; ferramentas/package_blender.py,23815409,9e5aca76bf64c19a300f24e72193c9c6d5df391fc3ed271dc2358e6c85b9368d,,,README.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; ferramentas/package_blender.py; ferramentas/validate-kit.py; ferramentas/manifest.cjs; docs/ARQUITETURA.md
LEIA-ME.md,md,documento editável,Entrada em português para o pacote e seus destinos,Leitura inicial,284,04376794852a53101414fcc575287b6e43f6f41b7a015f9d07ab497b52ae0120,,,
LICENSE,sem extensão,documento editável,Termos proprietários INTEIA; publicação não equivale a licença aberta,Direitos de reutilização,920,d1e6e7e86a65fb14c452f381d1619f698221f226636c5c11758f235c55d9819f,,,README.md; THIRD-PARTY-NOTICES.md; docs/DIREITOS-E-PROCEDENCIA.md; docs/DIREITOS-E-PROCEDENCIA.md
Previa-Blender.png,png,imagem gerada,Prévia renderizada do projeto Blender; não é textura do modelo,Apresentação e comparação visual,695174,661a7d173d357509ced9c4a111d566031f735fe346430b807238d5d8b9ec8335,,,README.md; ferramentas/package_blender.py; ferramentas/manifest.cjs
README.md,md,documento editável,"Entrada pública do laboratório, entregas, instalação e limites",Leitura inicial,6133,8aee17133f68cbc50cd5b8036118bdf84102d5bcd9e54e7230b950253e9a3b00,,,LEIA-ME.md; docs/OUTRO-PC.md
THIRD-PARTY-NOTICES.md,md,documento editável,Avisos de Three.js e procedência de contribuições externas,Atribuição e limites de distribuição,861,6329d2adf4f0bb2593452f3d026096a2220c001a12e674a3cab4290b8acd4a48,,,README.md
ambientes/INTEIA-box-laboratorio.glb,glb,modelo gerado,Box procedural exportado; arquivo separado do carro,Importação do ambiente; exportador da interface,10302288,b443c6e556e96d6c247dde32d0df9153d3fd0ec0e992329fd2a85dea6638e608,,,README.md; ferramentas/package_garage.py; ferramentas/manifest.cjs; docs/BOX-LABORATORIO.md; docs/ACABAMENTO-E-RENDER.md
ambientes/INTEIA_Box_com_carro.blend,blend,derivado editável,Cena Blender com box e carro reunidos e imagens empacotadas,Blender; ferramentas/package_garage.py,24679287,7b251012c19dcb572c0b4e7e862f23171648226b1f76814397d833df2d375948,,,README.md; ferramentas/package_garage.py; ferramentas/render_garage_preview.py; ferramentas/manifest.cjs; docs/BOX-LABORATORIO.md; docs/ACABAMENTO-E-RENDER.md
ambientes/Previa-Box.png,png,imagem gerada,Prévia renderizada da cena Blender com box,Apresentação do ambiente,2189120,e8a0c313dc2ff2a59dd592b10588ad538454a946c7c72a6d46a20bba4837958b,,,ferramentas/render_garage_preview.py; ferramentas/manifest.cjs
ambientes/validacao-box.json,json,relatório gerado,Evidência histórica do empacotamento do box e suas imagens,Conferência; não é nova execução Blender,351,2edfcba9cf400857faeb7f44cbc9686085d3c1c7f0f52ad88dbacc13f7ce78c0,,,ferramentas/package_garage.py
docs/ACABAMENTO-E-RENDER.md,md,documento editável concorrente,"Acabamento, iluminação e ajustes de render documentados em tarefa concorrente",Consultar revisão local registrada; não confundir com benchmark validado,2839,4c2a3237ef82e07f21991a97f54c4d81dddb302677e73b8caff333bf30348c79,,,docs/README.md
docs/AERODINAMICA.md,md,documento editável,"Modelo por coeficientes, unidades, entradas, resultados e limitações",Túnel didático e calculadora,6254,843a1fc7dd535a8c1dc51e22971df07b647c5be93f8606ade4bdc0c565a956a7,,,README.md; docs/README.md
